osm_id,name,lat,lon,hie_visual_detected,hie_confidence,hie_det_lat,hie_det_lon,hie_offset_m,naip_status
368985322,Sheraton Inn Heliport,42.4812016,-71.5472885,True,0.5387470722198486,42.48119949458318,-71.54726851635442,1.6554195100600115,ok
368985326,Digital - Training Heliport,42.3292595,-71.7536817,False,0.0,,,,ok
368985327,Clean Harbors Heliport,42.235084,-70.973971,True,0.38317450881004333,42.234691690666544,-70.97378521505564,46.226581779294655,ok
368985342,B-Town Heliport,42.3000939,-72.4252712,False,0.0,,,,ok
368985376,Digital Minuteman Heliport,42.6917577,-71.215059,False,0.0,,,,ok
368985402,Avco - Lowell Heliport,42.6152175,-71.3212125,False,0.0,,,,ok
368985416,Rider Heliport,42.6639113,-70.8554867,True,0.27558305859565735,42.664249570301834,-70.85592190366087,51.77926268232725,ok
368985491,Micron Heliport,42.0678721,-72.7439824,True,0.3009036183357239,42.0682321262756,-72.7434227340868,61.13014916956834,ok
368985492,Congamond Lake Heliport,42.0334284,-72.7592609,False,0.0,,,,ok
368985513,Rent-A-Tool Heliport,42.4278745,-70.9839387,True,0.4540388882160187,42.428233122664395,-70.9834252721993,58.01684831591319,ok
368985540,Southend Farm Heliport,42.1900835,-71.3563231,False,0.0,,,,ok
368985541,Millbury Savings - West Heliport,42.1917613,-71.7689591,False,0.0,,,,ok
368985542,Waters Associates Heliport,42.1362079,-71.4803394,False,0.0,,,,ok
368985543,Ferncroft Village Heliport,42.5974134,-70.9714192,False,0.0,,,,ok
368985547,Davna Corporation Heliport,42.1586205,-71.3888989,True,0.4113166332244873,42.159038776140854,-71.38924351196556,54.49832269641263,ok
368985596,Long Hill Orchard Heliport,42.5431151,-70.9617315,False,0.0,,,,ok
368985607,Digital Heliport,42.1759251,-72.7242594,False,0.0,,,,ok
368985616,Parker Heliport,42.2753709,-71.7981267,False,0.0,,,,ok
368985629,Sprague Number 1 Heliport,42.7209135,-73.2128847,False,0.0,,,,ok
368985632,Sprague Number 2 Heliport,42.7195247,-73.2128846,False,0.0,,,,ok
368990247,Five Points Helistop,41.5167318,-77.9705543,False,0.0,,,,ok
368990425,Big Flat Heliport,39.9870359,-77.4097075,False,0.0,,,,ok
368990459,Valley Forge Bicentennial Heliport,40.1212179,-75.4060192,False,0.0,,,,ok
368990787,Copter-PNB-Bristol Heliport,40.116777,-74.8579424,False,0.0,,,,ok
368990792,Sons Heliport,40.116777,-74.9162777,True,0.7508962750434875,40.116597337765,-74.91674206304947,44.25286323407707,ok
368990801,3-M Heliport,40.1292768,-74.8496087,False,0.0,,,,ok
368990804,Lee Norse Number One Heliport,40.1417388,-79.8914366,True,0.7506853342056274,40.14146649942508,-79.89123462886272,34.80706785947312,ok
