OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,ELEVATION,ICAO_ID,TYPE_CODE,SERVCITY,STATE,COUNTRY,OPERSTATUS,PRIVATEUSE,IAPEXISTS,DODHIFLIP,FAR91,FAR93,MIL_CODE,AIRANAL,US_HIGH,US_LOW,AK_HIGH,AK_LOW,US_AREA,PACIFIC,lat,lon
9422,CDE74CA3-9D15-4A34-8702-A58F2A890AD7,07NJ,Hackensack UMc Palisades,40-47-37.5300N,073-59-41.2700W,5.0,,HP,NORTH BERGEN,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.79375833333333,-73.99479722222222
9423,38CDE4D8-8965-4DFD-8BB0-B633FB00D784,99NJ,Atlantic County Helistop,39-22-32.0000N,074-32-10.0000W,12.0,,HP,NORTHFIELD,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,39.37555555555556,-74.53611111111111
9426,4C4353C5-8E05-479B-BC6F-5562020CAB07,3JY2,Cherry Hill,40-52-13.8000N,074-26-35.9000W,343.0,,HP,PARSIPPANY-TROY HILLS,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.8705,-74.44330555555555
9427,17FC9A78-CA26-472D-BBF2-80C638369AFE,8NJ3,Lembo,40-54-29.3200N,074-07-58.7800W,40.0,,HP,PATERSON,NJ,UNITED STATES,INDEFINITE,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.908144444444446,-74.13299444444444
9428,66E39123-8389-46D7-ABCC-35F4E01A2D2A,03NJ,St Joseph's Hospital,40-54-12.6200N,074-09-55.7000W,206.0,,HP,PATERSON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.903505555555554,-74.16547222222223
9432,19C1FCF7-5FBD-4557-8E27-7E38977331BF,11NJ,Southdown,40-38-26.3000N,074-39-50.0000W,128.0,,HP,PLUCKEMIN,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.64063888888889,-74.66388888888889
9433,BE349669-12E1-44A2-B9BD-87C629376F68,JY28,Atlantic City Medical Center,39-28-46.6200N,074-32-21.2600W,63.0,,HP,POMONA,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.479616666666665,-74.53923888888889
9434,7E59C571-1264-4D19-B27F-F9916D1D6E03,3NJ2,Educational Testing,40-20-47.7700N,074-43-00.0000W,179.0,,HP,PRINCETON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.34660277777778,-74.71666666666667
9435,8BE46977-C22F-4F81-8D04-C95A7AB4A96E,3NJ3,Dow Jones & Company Inc,40-22-15.6000N,074-35-08.8000W,76.0,,HP,PRINCETON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.371,-74.58577777777778
9436,6C8CFCC4-F169-4CC9-844D-E52D6653954B,8NJ2,Carnegie Center,40-19-19.7200N,074-38-50.3000W,80.0,,HP,PRINCETON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.32214444444445,-74.64730555555556
9437,1CEA403B-F0CC-4358-A067-B3A259936670,3NJ4,Sarnoff Princeton,40-19-50.0000N,074-37-40.0000W,90.0,,HP,PRINCETON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.330555555555556,-74.62777777777777
9439,E81A5B6E-0AC0-4D86-A7B6-2C550A972D58,7NJ8,Merck & Company,40-36-33.3000N,074-15-36.2000W,15.0,,HP,RAHWAY,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.60925,-74.26005555555555
9441,43D646CD-F7D8-42E3-ABB4-4E44F44C08C0,41NJ,Meadowlands Hospital Medical Center,40-47-31.1000N,074-04-20.5000W,10.0,,HP,SECAUCUS,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.79197222222222,-74.0723611111111
9442,DBA5263E-15A2-4B22-AC0E-711B3F264631,87NJ,Shore Medical Center,39-18-52.4400N,074-35-35.2500W,75.0,,HP,SOMERS POINT,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.314566666666664,-74.593125
9444,4BC59675-8046-4D7F-9657-DED205727CBB,09NJ,Stonebridge Farm Helistop,40-39-13.3660N,074-41-11.5780W,100.0,,HP,SOMERVILLE,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.65371277777778,-74.68654944444445
9445,59F59495-14CB-44E3-AAE9-9C067F4132D6,35NJ,Mid-State,40-36-01.3410N,074-43-09.6870W,260.0,,HP,SOMERVILLE,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.6003725,-74.7193575
9446,62C8F71D-162F-4690-83B9-83E07542A9F6,4NJ1,Somerset Medical Center,40-34-08.0000N,074-35-40.2000W,136.0,,HP,SOMERVILLE,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.56888888888889,-74.5945
9448,1A09342D-D831-40AF-9997-0E7263A17C01,NJ10,Dayton,40-22-22.1200N,074-31-02.5500W,104.0,,HP,SOUTH BRUNSWICK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.37281111111111,-74.517375
9449,70D58C9D-E1EA-4352-AB06-A5C152AA2450,1JY4,Hamilton Headquarter Troop C,40-12-05.0000N,074-38-55.8000W,81.0,,HP,TRENTON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.20138888888889,-74.64883333333334
9452,A95596E9-8ABA-4041-897A-7F298BBA4E56,JY18,Warren Hopely,39-55-24.4000N,074-45-25.1000W,40.0,,HP,VINCENTOWN,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.92344444444444,-74.75697222222222
9455,E464E20D-2D80-401E-9624-EDEE02AB7206,86NJ,Two Can Sam,39-27-12.0000N,075-07-31.0000W,108.0,,HP,VINELAND,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.45333333333333,-75.12527777777777
9457,11F898AD-70CA-472C-AE54-46CD042D5790,85NJ,Virtua-Voorhees Hospital,39-50-48.9100N,074-55-37.2000W,125.0,,HP,VOORHEES,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.846919444444445,-74.927
9460,E76B5ECA-98AA-4639-851B-D8EF53BE267D,96NJ,Virtua Willingboro Hospital,40-02-46.1000N,074-52-43.0000W,72.0,,HP,WILLINGBORO,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.04613888888889,-74.8786111111111
9461,FD286044-864C-464D-8462-6681A1D44BD1,26JY,Binder Winslow,39-44-18.4000N,074-54-38.0000W,150.0,,HP,WINSLOW,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.73844444444445,-74.91055555555556
9462,578C440E-F844-43E4-9824-32B3B6769C0F,7NJ1,New Freedom Switching Station,39-44-23.9000N,074-57-50.8000W,130.0,,HP,WINSLOW TOWNSHIP,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,39.73997222222222,-74.96411111111111
9464,450973F6-EF72-4A5E-B654-56C3D2529DF9,7NJ6,Lebanon Twnshp Mun Bldg,40-43-03.3600N,074-53-31.6040W,925.0,,HP,WOODGLEN,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.717600000000004,-74.89211222222222
9489,AB6CB7DF-27F4-4042-94FA-A02AD11250E7,NJ87,University Hospital Rooftop,40-44-27.0500N,074-11-27.0300W,237.0,,HP,NEWARK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.74084722222222,-74.19084166666667
9490,6A5ED91A-22AF-49E2-AF6A-F694A67304FD,0NJ9,Jersey Tpke New Brunswick Helistop,40-28-38.3780N,074-24-28.5410W,70.0,,HP,NEW BRUNSWICK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.47732722222222,-74.40792805555556
9491,3B494A38-4DD8-4564-9D84-0737D4361786,1NJ1,Rutgers Helistop Sec A,40-29-13.9000N,074-26-08.0000W,73.0,,HP,NEW BRUNSWICK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.48719444444445,-74.43555555555555
9492,8EE26114-CD10-49B2-9104-C54662058D09,00NJ,Colgate-Piscataway,40-31-15.3730N,074-28-28.5510W,78.0,,HP,NEW BRUNSWICK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.52093694444444,-74.4745975
9493,097F1AB7-C4A5-4F90-9459-660C803B4C23,9NJ4,Robert Wood Johnson Hospital,40-29-44.8600N,074-26-59.5900W,199.0,,HP,NEW BRUNSWICK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.49579444444444,-74.44988611111111
9494,8D0101A8-74F2-48D8-9E96-4CF93A990107,1NJ4,Rutgers Helistop Nr 1 and Sec 2b,40-31-04.1000N,074-27-45.4000W,94.0,,HP,NEW BRUNSWICK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,40.517805555555555,-74.46261111111112
9495,4C394463-BDEF-4D20-86D2-6563B68F79B3,06NJ,J&j New Brunswick Helistop,40-30-06.6139N,074-26-44.6460W,23.0,,HP,NEW BRUNSWICK,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0,40.50183719444444,-74.445735
9496,61189734-5F25-4CE2-B1E7-C62557675809,1NJ6,Idylease Helistop,41-03-16.1000N,074-25-54.6000W,915.0,,HP,NEWFOUNDLAND,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0,41.054472222222216,-74.43183333333334
9497,85BE9EF7-B2AC-44B7-8525-213269ACC2E2,NJ62,Lz 1 Nldc,39-53-23.6000N,074-34-53.8000W,113.0,,HP,NEW LISBON,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,39.88988888888889,-74.5816111111111
9500,87891DAC-8867-461A-A0CF-6E14D306C625,JY16,Merrill Creek Reservoir,40-44-24.0000N,075-05-26.0000W,938.0,,HP,PHILLIPSBURG,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0,40.74,-75.09055555555555
9501,9CE0A8F9-7282-45CA-837F-1EDE815927FB,5NJ7,Warren Hospital,40-42-10.9000N,075-10-41.4000W,380.0,,HP,PHILLIPSBURG,NJ,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,OBJECTIONABLE,0,0,0,0,0,0,40.703027777777784,-75.17816666666667
